action;price;state
nothing;0.0;(1, -1, -1)
buyEURUSD;1.17057;(1, -1, -1)
nothing;0.0;(1, -1, -1)
buyEURUSD;1.17069;(1, -1, -1)
buyGBPUSD;1.28827;(1, -1, -1)
buyAUDUSD;0.78577;(1, -1, -1)
buyEURUSD;1.17088;(1, -1, -1)
nothing;0.0;(1, -1, -1)
buyGBPUSD;1.28843;(1, -1, -1)
buyGBPUSD;1.28818;(1, -1, -1)
buyEURUSD;1.17066;(1, -1, 0)
nothing;0.0;(1, -1, 0)
nothing;0.0;(1, -1, 0)
buyGBPUSD;1.28782;(1, -1, -1)
buyGBPUSD;1.2877;(1, -1, 0)
buyGBPUSD;1.28767;(1, -1, 0)
buyGBPUSD;1.28753;(1, -1, 0)
buyAUDUSD;0.78541;(1, -1, 0)
buyGBPUSD;1.28757;(1, -1, 0)
nothing;0.0;(1, -1, 0)
buyGBPUSD;1.28759;(1, -1, 0)
buyEURUSD;1.17037;(1, -1, 0)
buyGBPUSD;1.2878;(1, -1, -1)
buyAUDUSD;0.7857;(1, -1, -1)
buyGBPUSD;1.28775;(1, -1, 0)
buyEURUSD;1.17024;(1, -1, 0)
buyEURUSD;1.17071;(1, -1, 0)
nothing;0.0;(1, -1, 0)
nothing;0.0;(1, -1, 0)
buyGBPUSD;1.28762;(1, -1, 0)
buyAUDUSD;0.78565;(1, -1, 0)
nothing;0.0;(1, -1, 0)
buyGBPUSD;1.2873;(1, -1, 0)
buyGBPUSD;1.28747;(1, -1, 0)
buyAUDUSD;0.78563;(1, -1, 0)
buyGBPUSD;1.28746;(1, -1, 0)
buyGBPUSD;1.28754;(1, -1, 0)
buyAUDUSD;0.78574;(1, -1, 0)
buyGBPUSD;1.28757;(1, -1, 0)
nothing;0.0;(1, -1, 0)
buyEURUSD;1.17041;(1, -1, 0)
buyGBPUSD;1.2872;(1, -1, 0)
buyAUDUSD;0.78556;(1, -1, 0)
buyEURUSD;1.17034;(1, -1, 0)
nothing;0.0;(1, -1, 0)
buyAUDUSD;0.78552;(1, -1, 0)
