Gain/Loss_nreal;Gain/Loss_real;USD;USD_net;time
-150.43977000000885;347.65756999999286;95146.65757000001;94996.2178;1853
-159.63177999999624;347.65756999999286;95146.65757000001;94987.02579000001;1854
-134.2500900000043;347.65756999999286;95146.65757000001;95012.40748000001;1855
-147.99782999999275;347.65756999999286;95146.65757000001;94998.65974000002;1856
-156.8030100000007;347.65756999999286;95146.65757000001;94989.85456;1857
-148.9897000000052;347.65756999999286;95146.65757000001;94997.66787;1858
-149.72222999999667;347.65756999999286;95146.65757000001;94996.93534000001;1859
-110.93067000000218;347.65756999999286;95146.65757000001;95035.72690000001;1860
-98.68626999999908;347.65756999999286;95146.65757000001;95047.9713;1861
-101.80437999999515;347.65756999999286;95146.65757000001;95044.85319000001;1862
-98.91248999999758;347.65756999999286;95146.65757000001;95047.74508000001;1863
-93.00104000000712;347.65756999999286;95146.65757000001;95053.65653000001;1864
-105.94491999999971;347.65756999999286;95146.65757000001;95040.71265000002;1865
-115.94034999999978;347.65756999999286;95146.65757000001;95030.71722;1866
-91.83036000000314;347.65756999999286;95146.65757000001;95054.82721;1867
-73.30849999999317;347.65756999999286;95146.65757000001;95073.34907000001;1868
-63.278839999996805;347.65756999999286;95146.65757000001;95083.37873000001;1869
-68.099819999998;347.65756999999286;95146.65757000001;95078.55775;1870
-76.0286500000001;347.65756999999286;95146.65757000001;95070.62892000002;1871
-76.31155999999483;347.65756999999286;95146.65757000001;95070.34601000001;1872
-82.09382999999488;347.65756999999286;95146.65757000001;95064.56374000001;1873
-63.681229999993036;347.65756999999286;95146.65757000001;95082.97634000002;1874
-64.7777600000048;347.65756999999286;95146.65757000001;95081.87981;1875
-96.75204000000221;347.65756999999286;95146.65757000001;95049.90553;1876
-100.21398000000276;347.65756999999286;95146.65757000001;95046.44359000001;1877
-93.65023999999802;347.65756999999286;95146.65757000001;95053.00733000001;1878
-91.85227000000381;347.65756999999286;95146.65757000001;95054.8053;1879
-74.35747999998928;347.65756999999286;95146.65757000001;95072.30009000002;1880
-66.06086999999812;347.65756999999286;95146.65757000001;95080.59670000001;1881
-95.39874000000131;347.65756999999286;95146.65757000001;95051.25883;1882
-86.26806000000082;347.65756999999286;95146.65757000001;95060.38951000001;1883
-94.32633999999908;347.65756999999286;95146.65757000001;95052.33123000001;1884
-94.95705999999853;347.65756999999286;95146.65757000001;95051.70051000001;1885
-88.084319999993;347.65756999999286;95146.65757000001;95058.57325000002;1886
-122.9174599999966;347.65756999999286;95146.65757000001;95023.74011000001;1887
-126.48103999999212;347.65756999999286;95146.65757000001;95020.17653000001;1888
-138.9534900000003;347.65756999999286;95146.65757000001;95007.70408000001;1889
-150.92167000000342;347.65756999999286;95146.65757000001;94995.7359;1890
-91.06026999999514;347.65756999999286;95146.65757000001;95055.59730000001;1891
-98.59498999999865;347.65756999999286;95146.65757000001;95048.06258000001;1892
-72.76880000000601;347.65756999999286;95146.65757000001;95073.88877;1893
-29.513060000008984;368.06129999999024;95167.0613;95137.54823999999;1894
-31.11422999999767;368.06129999999024;95167.0613;95135.94707000001;1895
-29.98676999999308;368.06129999999024;95167.0613;95137.07453000001;1896
-49.58632000000131;368.06129999999024;95167.0613;95117.47498;1897
-33.44682000000346;378.3579599999917;95177.35796000001;95143.91114000001;1898
-31.122300000001328;378.3579599999917;95177.35796000001;95146.23566;1899
-31.80579000000505;378.3579599999917;95177.35796000001;95145.55217000001;1900
-15.16953999999605;378.3579599999917;95177.35796000001;95162.18842;1901
-19.048700000006107;378.3579599999917;95177.35796000001;95158.30926000001;1902
-27.288950000004437;378.3579599999917;95177.35796000001;95150.06901;1903
-19.2542299999988;378.3579599999917;95177.35796000001;95158.10373;1904
-29.78711999999485;378.3579599999917;95177.35796000001;95147.57084000001;1905
-37.16851999999783;378.3579599999917;95177.35796000001;95140.18944000002;1906
-31.14506000000255;378.3579599999917;95177.35796000001;95146.21290000001;1907
-39.157539999996736;378.3579599999917;95177.35796000001;95138.20042000001;1908
-52.523399999995256;378.3579599999917;95177.35796000001;95124.83456000002;1909
-64.64586999999996;378.3579599999917;95177.35796000001;95112.71209000002;1910
-64.03682999999549;378.3579599999917;95177.35796000001;95113.32113000001;1911
-49.11032000000282;378.3579599999917;95177.35796000001;95128.24764;1912
-55.853769999997695;378.3579599999917;95177.35796000001;95121.50419;1913
-84.19953000000197;378.3579599999917;95177.35796000001;95093.15843000001;1914
